dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.117765,0.269316,0.000199,0.019886,0.994318,49.715909,0.491014
0.020000,-0.117803,0.269295,0.000242,0.002180,-0.885342,-93.983033,0.491189
0.020000,-0.117880,0.269254,0.000330,0.004355,0.108777,49.705976,0.491537
0.020000,-0.116988,0.269732,0.001342,0.050601,2.312273,110.174810,0.492059
0.020000,-0.114337,0.271154,0.004350,0.150412,4.990598,133.916261,0.492753
0.020000,-0.111025,0.272935,0.008111,0.188045,1.881649,-155.447496,0.493619
0.020000,-0.107051,0.275076,0.012625,0.225698,1.882641,0.049601,0.494654
0.020000,-0.102416,0.277579,0.017892,0.263375,1.883830,0.059473,0.495856
0.020000,-0.097122,0.280448,0.023914,0.301080,1.885233,0.070145,0.497225
0.020000,-0.091168,0.283685,0.030690,0.338816,1.886826,0.079656,0.498756
0.020000,-0.084557,0.287293,0.038222,0.376589,1.888629,0.090161,0.500447
0.020000,-0.077289,0.291276,0.046510,0.414401,1.890635,0.100307,0.502295
0.020000,-0.069366,0.295639,0.055555,0.452258,1.892845,0.110460,0.504296
0.020000,-0.060788,0.300385,0.065358,0.490164,1.895266,0.121089,0.506446
0.020000,-0.051557,0.305519,0.075921,0.528121,1.897881,0.130723,0.508742
0.020000,-0.041675,0.311046,0.087243,0.566136,1.900724,0.142144,0.511178
0.020000,-0.031143,0.316971,0.099328,0.604211,1.903745,0.151064,0.513751
0.020000,-0.019963,0.323300,0.112175,0.642351,1.907020,0.163741,0.516453
0.020000,-0.008137,0.330038,0.125786,0.680560,1.910454,0.171723,0.519281
0.020000,0.004334,0.337191,0.140163,0.718843,1.914139,0.184242,0.522228
0.020000,0.017448,0.344765,0.155307,0.757203,1.918013,0.193686,0.525289
0.020000,0.031203,0.352767,0.171220,0.795645,1.922110,0.204878,0.528455
0.020000,0.045597,0.361202,0.187903,0.834172,1.926350,0.212001,0.531721
0.020000,0.060628,0.370078,0.205359,0.872790,1.930907,0.227849,0.535080
