dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000115,0.048852,0.000199,0.019886,0.994318,49.715909,0.491014
0.020000,0.000115,0.048852,0.000994,0.059659,1.988636,49.715909,0.491189
0.020000,0.000115,0.048852,0.002585,0.099432,1.988636,0.000000,0.491537
0.020000,0.001122,0.049392,0.004972,0.139205,1.988636,-0.000000,0.492059
0.020000,0.003926,0.050896,0.008153,0.178977,1.988636,0.000000,0.492753
0.020000,0.007429,0.052779,0.012131,0.218750,1.988636,-0.000000,0.493619
0.020000,0.011631,0.055042,0.016903,0.258523,1.988636,0.000000,0.494654
0.020000,0.016530,0.057689,0.022472,0.298295,1.988636,-0.000000,0.495856
0.020000,0.022125,0.060720,0.028835,0.338068,1.988636,0.000000,0.497225
0.020000,0.028415,0.064140,0.035994,0.377841,1.988636,0.000000,0.498756
0.020000,0.035397,0.067951,0.043949,0.417614,1.988636,-0.000000,0.500447
0.020000,0.043070,0.072156,0.052699,0.457386,1.988636,0.000000,0.502295
0.020000,0.051432,0.076760,0.062244,0.497159,1.988636,0.000000,0.504296
0.020000,0.060480,0.081767,0.072585,0.536932,1.988636,0.000000,0.506446
0.020000,0.070213,0.087180,0.083722,0.576705,1.988636,-0.000000,0.508742
0.020000,0.080626,0.093004,0.095653,0.616477,1.988636,0.000000,0.511178
0.020000,0.091719,0.099245,0.108381,0.656250,1.988636,0.000000,0.513751
0.020000,0.103487,0.105906,0.121903,0.696023,1.988636,0.000000,0.516453
0.020000,0.115927,0.112994,0.136222,0.735795,1.988636,0.000000,0.519281
0.020000,0.129037,0.120514,0.151335,0.775568,1.988636,-0.000000,0.522228
0.020000,0.142814,0.128471,0.167244,0.815341,1.988636,0.000000,0.525289
0.020000,0.157253,0.136870,0.183949,0.855114,1.988636,0.000000,0.528455
0.020000,0.172351,0.145718,0.201449,0.894886,1.988636,0.000000,0.531721
0.020000,0.188105,0.155021,0.219744,0.934659,1.988636,-0.000000,0.535080
0.020000,0.204511,0.164784,0.238835,0.974432,1.988636,0.000000,0.538523
0.020000,0.221564,0.175013,0.258722,1.014205,1.988636,0.000000,0.542044
0.020000,0.239262,0.185715,0.279403,1.053977,1.988636,0.000000,0.545633
0.020000,0.257601,0.196894,0.300881,1.093750,1.988636,0.000000,0.549283
0.020000,0.276575,0.208557,0.323153,1.133523,1.988636,0.000000,0.552984
0.020000,0.296183,0.220710,0.346222,1.173295,1.988636,0.000000,0.556727
0.020000,0.316419,0.233359,0.370085,1.213068,1.988636,0.000000,0.560504
0.020000,0.337280,0.246508,0.394744,1.252841,1.988636,0.000000,0.564304
0.020000,0.358762,0.260162,0.420199,1.292614,1.988636,0.000000,0.568117
0.020000,0.380861,0.274329,0.446449,1.332386,1.988636,-0.000000,0.571933
0.020000,0.403574,0.289011,0.473494,1.372159,1.988636,0.000000,0.575742
0.020000,0.426898,0.304213,0.501335,1.411932,1.988636,0.000000,0.579532
0.020000,0.450829,0.319941,0.529972,1.451705,1.988636,0.000000,0.583293
0.020000,0.475364,0.336197,0.559403,1.491477,1.988636,0.000000,0.587013
0.020000,0.500500,0.352986,0.589631,1.531250,1.988636,0.000000,0.590680
0.020000,0.526235,0.370310,0.620653,1.571023,1.988636,0.000000,0.594283
0.020000,0.552566,0.388172,0.652472,1.610795,1.988636,0.000000,0.597810
0.020000,0.579492,0.406575,0.685085,1.650568,1.988636,0.000000,0.601248
0.020000,0.607010,0.425520,0.718494,1.690341,1.988636,0.000000,0.604584
0.020000,0.635120,0.445008,0.752699,1.730114,1.988636,0.000000,0.607806
0.020000,0.663820,0.465040,0.787699,1.769886,1.988636,0.000000,0.610901
0.020000,0.693110,0.485617,0.823494,1.809659,1.988636,0.000000,0.613855
0.020000,0.722991,0.506736,0.860085,1.849432,1.988636,0.000000,0.616654
0.020000,0.753463,0.528398,0.897472,1.889205,1.988636,-0.000000,0.619286
0.020000,0.784526,0.550599,0.935653,1.928977,1.988636,0.000000,0.621735
0.020000,0.816184,0.573338,0.974631,1.968750,1.988636,0.000000,0.623988
0.020000,0.848437,0.596610,1.014403,2.008523,1.988636,-0.000000,0.626029
0.020000,0.881290,0.620410,1.054972,2.048295,1.988636,0.000000,0.627845
0.020000,0.914746,0.644735,1.096335,2.088068,1.988636,-0.000000,0.629419
0.020000,0.948809,0.669576,1.138494,2.127841,1.988636,0.000000,0.630736
0.020000,0.983485,0.694927,1.181449,2.167614,1.988636,-0.000000,0.631781
0.020000,1.018780,0.720779,1.225199,2.207386,1.988636,0.000000,0.632536
0.020000,1.054700,0.747123,1.269744,2.247159,1.988636,-0.000000,0.632986
0.020000,1.091254,0.773948,1.315085,2.286932,1.988636,0.000000,0.633113
0.020000,1.128451,0.801242,1.361222,2.326705,1.988636,-0.000000,0.632900
0.020000,1.166300,0.828992,1.408153,2.366477,1.988636,0.000000,0.632328
0.020000,1.204812,0.857183,1.455881,2.406250,1.988636,-0.000000,0.631379
0.020000,1.243999,0.885799,1.504403,2.446023,1.988636,0.000000,0.630035
0.020000,1.283873,0.914822,1.553722,2.485795,1.988636,0.000000,0.628276
0.020000,1.324448,0.944233,1.603835,2.525568,1.988636,-0.000000,0.626081
0.020000,1.365740,0.974011,1.654744,2.565341,1.988636,0.000000,0.623430
0.020000,1.407764,1.004133,1.706449,2.605114,1.988636,-0.000000,0.620302
0.020000,1.450537,1.034575,1.758949,2.644886,1.988636,0.000000,0.616675
0.020000,1.494078,1.065308,1.812244,2.684659,1.988636,-0.000000,0.612526
0.020000,1.538407,1.096305,1.866335,2.724432,1.988636,0.000000,0.607832
0.020000,1.583544,1.127533,1.921222,2.764205,1.988636,-0.000000,0.602569
0.020000,1.629510,1.158959,1.976903,2.803977,1.988636,0.000000,0.596714
0.020000,1.676328,1.190546,2.033381,2.843750,1.988636,-0.000000,0.590240
0.020000,1.724022,1.222254,2.090653,2.883523,1.988636,0.000000,0.583124
0.020000,1.772617,1.254042,2.148722,2.923295,1.988636,0.000000,0.575340
0.020000,1.822137,1.285863,2.207585,2.963068,1.988636,-0.000000,0.566861
0.020000,1.872610,1.317670,2.267244,3.002841,1.988636,0.000000,0.557662
0.020000,1.924062,1.349410,2.327699,3.042614,1.988636,-0.000000,0.547718
0.020000,1.976520,1.381027,2.388949,3.082386,1.988636,0.000000,0.537004
0.020000,2.030012,1.412463,2.450994,3.122159,1.988636,-0.000000,0.525494
0.020000,2.084566,1.443654,2.513835,3.161932,1.988636,0.000000,0.513167
0.020000,2.140208,1.474533,2.577472,3.201705,1.988636,-0.000000,0.500000
0.020000,2.196965,1.505029,2.641903,3.241477,1.988636,0.000000,0.485975
0.020000,2.254863,1.535067,2.707131,3.281250,1.988636,-0.000000,0.471074
0.020000,2.313927,1.564569,2.773153,3.321023,1.988636,0.000000,0.455284
0.020000,2.374180,1.593451,2.839972,3.360795,1.988636,0.000000,0.438595
0.020000,2.435641,1.621628,2.907585,3.400568,1.988636,-0.000000,0.421003
0.020000,2.498330,1.649010,2.975994,3.440341,1.988636,0.000000,0.402508
0.020000,2.562262,1.675504,3.045199,3.480114,1.988636,-0.000000,0.383118
0.020000,2.627260,1.700944,3.115000,3.500000,0.994318,-49.715909,0.362905
0.020000,2.692955,1.725111,3.185000,3.500000,0.000000,-49.715909,0.342016
0.020000,2.759146,1.747882,3.255000,3.500000,0.000000,0.000000,0.320556
0.020000,2.825816,1.769210,3.325000,3.500000,0.000000,0.000000,0.298580
0.020000,2.892944,1.789051,3.395000,3.500000,0.000000,0.000000,0.276145
0.020000,2.960503,1.807368,3.465000,3.500000,0.000000,0.000000,0.253314
0.020000,3.028466,1.824127,3.535000,3.500000,0.000000,0.000000,0.230153
0.020000,3.096801,1.839297,3.605000,3.500000,0.000000,0.000000,0.206729
0.020000,3.165473,1.852856,3.675000,3.500000,0.000000,0.000000,0.183113
0.020000,3.234448,1.864785,3.745000,3.500000,0.000000,0.000000,0.159375
0.020000,3.303686,1.875071,3.815000,3.500000,0.000000,0.000000,0.135586
0.020000,3.364323,1.882705,3.885000,3.500000,0.000000,0.000000,0.116294
0.020000,3.433791,1.891313,3.955000,3.500000,0.000000,0.000000,0.130448
0.020000,3.503125,1.900940,4.025000,3.500000,0.000000,0.000000,0.145698
0.020000,3.572294,1.911665,4.095000,3.500000,0.000000,0.000000,0.162174
0.020000,3.641275,1.923576,4.165000,3.500000,0.000000,0.000000,0.180030
0.020000,3.710018,1.936768,4.235000,3.500000,0.000000,0.000000,0.199441
0.020000,3.778482,1.951351,4.305000,3.500000,0.000000,0.000000,0.220613
0.020000,3.846603,1.967446,4.375000,3.500000,0.000000,0.000000,0.243781
0.020000,3.914314,1.985191,4.445000,3.500000,0.000000,0.000000,0.269227
0.020000,3.981530,2.004739,4.515000,3.500000,0.000000,0.000000,0.297272
0.020000,4.048136,2.026260,4.585000,3.500000,0.000000,0.000000,0.328288
0.020000,4.114002,2.049945,4.655000,3.500000,0.000000,0.000000,0.362708
0.020000,4.178966,2.076007,4.725000,3.500000,0.000000,0.000000,0.401022
0.020000,4.242819,2.104675,4.795000,3.500000,0.000000,0.000000,0.443773
0.020000,4.305310,2.136200,4.865000,3.500000,0.000000,0.000000,0.491550
0.020000,4.366128,2.170841,4.935000,3.500000,0.000000,0.000000,0.544947
0.020000,4.424893,2.208857,5.005000,3.500000,0.000000,0.000000,0.604509
0.020000,4.481154,2.250485,5.075000,3.500000,0.000000,0.000000,0.670633
0.020000,4.534388,2.295916,5.145000,3.500000,0.000000,0.000000,0.743428
0.020000,4.584016,2.345255,5.215000,3.500000,0.000000,0.000000,0.822540
0.020000,4.629440,2.398489,5.285000,3.500000,0.000000,0.000000,0.907009
0.020000,4.670094,2.455445,5.355000,3.500000,0.000000,0.000000,0.995190
0.020000,4.705517,2.515793,5.425000,3.500000,0.000000,0.000000,1.084865
0.020000,4.735412,2.579062,5.495000,3.500000,0.000000,0.000000,1.173529
0.020000,4.759688,2.644695,5.565000,3.500000,0.000000,0.000000,1.258790
0.020000,4.778457,2.712112,5.635000,3.500000,0.000000,0.000000,1.338722
0.020000,4.792006,2.780772,5.705000,3.500000,0.000000,0.000000,1.412066
0.020000,4.800734,2.850213,5.775000,3.500000,0.000000,0.000000,1.478222
0.020000,4.805108,2.920066,5.845000,3.500000,0.000000,0.000000,1.537127
0.020000,4.805607,2.990056,5.915000,3.500000,0.000000,0.000000,1.589086
0.020000,4.802699,3.059990,5.985000,3.500000,0.000000,0.000000,1.634603
0.020000,4.796819,3.129738,6.055000,3.500000,0.000000,0.000000,1.674270
0.020000,4.788363,3.199222,6.125000,3.500000,0.000000,0.000000,1.708687
0.020000,4.777687,3.268400,6.195000,3.500000,0.000000,0.000000,1.738418
0.020000,4.765105,3.337258,6.265000,3.500000,0.000000,0.000000,1.763967
0.020000,4.750899,3.405800,6.335000,3.500000,0.000000,0.000000,1.785774
0.020000,4.735318,3.474043,6.405000,3.500000,0.000000,0.000000,1.804214
0.020000,4.718587,3.542014,6.475000,3.500000,0.000000,0.000000,1.819601
0.020000,4.700908,3.609744,6.545000,3.500000,0.000000,0.000000,1.832192
0.020000,4.682466,3.677271,6.615000,3.500000,0.000000,0.000000,1.842192
0.020000,4.663432,3.744633,6.685000,3.500000,0.000000,0.000000,1.849765
0.020000,4.643967,3.811873,6.755000,3.500000,0.000000,0.000000,1.855030
0.020000,4.624223,3.879031,6.825000,3.500000,0.000000,0.000000,1.858069
0.020000,4.604348,3.946150,6.895000,3.500000,0.000000,0.000000,1.858932
0.020000,4.584488,4.013274,6.965000,3.500000,0.000000,0.000000,1.857630
0.020000,4.564789,4.080445,7.035000,3.500000,0.000000,0.000000,1.854144
0.020000,4.545399,4.147705,7.105000,3.500000,0.000000,0.000000,1.848420
0.020000,4.526472,4.215098,7.175000,3.500000,0.000000,0.000000,1.840366
0.020000,4.508170,4.282663,7.245000,3.500000,0.000000,0.000000,1.829855
0.020000,4.490668,4.350439,7.315000,3.500000,0.000000,0.000000,1.816716
0.020000,4.474153,4.418462,7.385000,3.500000,0.000000,0.000000,1.800733
0.020000,4.458832,4.486764,7.455000,3.500000,0.000000,0.000000,1.781637
0.020000,4.444934,4.555369,7.525000,3.500000,0.000000,0.000000,1.759103
0.020000,4.432715,4.624292,7.595000,3.500000,0.000000,0.000000,1.732745
