dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.117995,-0.171612,0.000199,0.019886,0.994318,49.715909,0.491014
0.020000,0.118034,-0.171591,0.000242,0.002180,-0.885342,-93.983033,0.491189
0.020000,0.118111,-0.171550,0.000330,0.004355,0.108777,49.705976,0.491537
0.020000,0.119233,-0.170949,0.001602,0.063646,2.964539,142.788092,0.492059
0.020000,0.122189,-0.169363,0.004958,0.167769,5.206167,112.081421,0.492753
0.020000,0.125883,-0.167377,0.009151,0.209682,2.095630,-155.526847,0.493619
0.020000,0.130313,-0.164991,0.014183,0.251574,2.094634,-0.049825,0.494654
0.020000,0.135476,-0.162202,0.020052,0.293443,2.093433,-0.060019,0.495856
0.020000,0.141372,-0.159007,0.026758,0.335284,2.092045,-0.069411,0.497225
0.020000,0.147998,-0.155405,0.034299,0.377093,2.090441,-0.080191,0.498756
0.020000,0.155352,-0.151391,0.042677,0.418866,2.088642,-0.089969,0.500447
0.020000,0.163430,-0.146964,0.051889,0.460598,2.086637,-0.100250,0.502295
0.020000,0.172230,-0.142119,0.061934,0.502287,2.084425,-0.110628,0.504296
0.020000,0.181749,-0.136852,0.072813,0.543927,2.082013,-0.120580,0.506446
0.020000,0.191982,-0.131160,0.084523,0.585515,2.079378,-0.131729,0.508742
0.020000,0.202928,-0.125038,0.097064,0.627046,2.076559,-0.140979,0.511178
0.020000,0.214580,-0.118482,0.110434,0.668516,2.073497,-0.153069,0.513751
0.020000,0.226936,-0.111488,0.124633,0.709921,2.070276,-0.161048,0.516453
0.020000,0.239991,-0.104050,0.139658,0.751257,2.066791,-0.174251,0.519281
0.020000,0.253741,-0.096164,0.155508,0.792520,2.063143,-0.182442,0.522228
0.020000,0.268179,-0.087824,0.172183,0.833705,2.059262,-0.194006,0.525289
0.020000,0.283303,-0.079026,0.189679,0.874809,2.055191,-0.203588,0.528455
0.020000,0.299106,-0.069765,0.207995,0.915826,2.050840,-0.217554,0.531721
0.020000,0.315582,-0.060036,0.227130,0.956754,2.046403,-0.221814,0.535080
0.020000,0.332728,-0.049833,0.247082,0.997588,2.041677,-0.236314,0.538523
0.020000,0.350536,-0.039151,0.267849,1.038323,2.036766,-0.245542,0.542044
0.020000,0.369002,-0.027985,0.289428,1.078957,2.031693,-0.253679,0.545633
0.020000,0.388120,-0.016331,0.311817,1.119483,2.026293,-0.269965,0.549283
0.020000,0.407883,-0.004183,0.335015,1.159900,2.020883,-0.270498,0.552984
0.020000,0.428285,0.008463,0.359019,1.200203,2.015151,-0.286598,0.556727
0.020000,0.449322,0.021612,0.383827,1.240389,2.009270,-0.294084,0.560504
0.020000,0.470987,0.035267,0.409436,1.280454,2.003243,-0.301347,0.564304
0.020000,0.493273,0.049434,0.435844,1.320391,1.996868,-0.318751,0.568117
0.020000,0.516176,0.064115,0.463048,1.360202,1.990552,-0.315807,0.571933
0.020000,0.539689,0.079314,0.491046,1.399880,1.983918,-0.331664,0.575742
0.020000,0.563806,0.095034,0.519834,1.439423,1.977155,-0.338163,0.579532
0.020000,0.588523,0.111277,0.549411,1.478827,1.970179,-0.348809,0.583293
0.020000,0.613833,0.128047,0.579773,1.518089,1.963115,-0.353174,0.587013
0.020000,0.639732,0.145345,0.610917,1.557205,1.955793,-0.366100,0.590680
0.020000,0.666214,0.163172,0.642840,1.596174,1.948438,-0.367791,0.594283
0.020000,0.693275,0.181530,0.675540,1.634991,1.940840,-0.379886,0.597810
0.020000,0.720910,0.200417,0.709013,1.673652,1.933068,-0.388594,0.601248
0.020000,0.749115,0.219835,0.743256,1.712158,1.925277,-0.389564,0.604584
0.020000,0.777887,0.239782,0.778266,1.750502,1.917209,-0.403394,0.607806
0.020000,0.807221,0.260257,0.814040,1.788682,1.909004,-0.410227,0.610901
0.020000,0.837116,0.281258,0.850574,1.826696,1.900696,-0.415439,0.613855
0.020000,0.867568,0.302782,0.887865,1.864541,1.892270,-0.421259,0.616654
0.020000,0.898576,0.324824,0.925909,1.902211,1.883498,-0.438620,0.619286
0.020000,0.930138,0.347382,0.964703,1.939707,1.874801,-0.434842,0.621735
0.020000,0.962253,0.370449,1.004243,1.977023,1.865808,-0.449658,0.623988
0.020000,0.994920,0.394020,1.044526,2.014157,1.856675,-0.456672,0.626029
0.020000,1.028140,0.418087,1.085549,2.051102,1.847273,-0.470076,0.627845
0.020000,1.061914,0.442642,1.127306,2.087859,1.837840,-0.471630,0.629419
0.020000,1.096244,0.467678,1.169794,2.124421,1.828076,-0.488195,0.630736
0.020000,1.131130,0.493183,1.213010,2.160783,1.818133,-0.497189,0.631781
0.020000,1.166578,0.519146,1.256949,2.196943,1.807976,-0.507833,0.632536
0.020000,1.202589,0.545557,1.301607,2.232894,1.797567,-0.520467,0.632986
0.020000,1.239169,0.572401,1.346979,2.268632,1.786887,-0.533989,0.633113
0.020000,1.276323,0.599663,1.393062,2.304151,1.775949,-0.546887,0.632900
0.020000,1.314056,0.627328,1.439851,2.339445,1.764709,-0.562035,0.632328
0.020000,1.352377,0.655379,1.487341,2.374509,1.753181,-0.576368,0.631379
